,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1362,91,10,1/31/20,2/7/20,"5,676,621","Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",3600989,1Xnn1TPyr5h0hpRAT4B4EA,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",latin,-3.582,0.0838,0.141,0.179,165.941,304733,0.758,C#/Db
1363,139,9,1/10/20,1/17/20,"5,490,386","Arcangel, Bad Bunny",6671084,4z6wo6PJG4Fve45OXK6D9m,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",latin,-3.147,0.219,0.366,0.246,176.073,221103,0.721,C#/Db
1364,60,10,12/27/19,1/3/20,"5,436,773",Daddy Yankee,23936368,6RyaV7owmVU6fzEPE17sF1,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",latin,-2.814,0.0357,0.0478,0.12,93.979,210520,0.708,G
1365,32,10,1/3/20,1/10/20,"5,386,512",Lil Uzi Vert,11821805,2Ec33AVlkTTq8BHFgBTdQs,"['melodic rap', 'philly rap', 'rap', 'trap']",rap,-8.191,0.156,0.0327,0.231,136.97,198913,0.296,G
1366,123,8,1/31/20,2/7/20,"5,286,044",TOKYO’S REVENGE,313480,0Q2n5yzl2XRqYbV77tZNYp,"['meme rap', 'sad rap', 'vapor trap', 'viral rap']",rap,-7.782,0.36,0.0408,0.253,124.918,150115,0.664,E
1367,58,10,1/3/20,1/10/20,"5,273,046",Stormzy,2317758,4QPEwDdOMhY7rNS05mTyMR,"['grime', 'uk hip hop']",hip hop,-4.178,0.112,0.00838,0.123,104,216707,0.359,G
1368,128,2,2/21/20,2/28/20,"5,260,351",Future,10491105,4iiWcajF1fEUpwcUewc464,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,-8.33,0.433,0.107,0.122,142.069,315346,0.582,F
1369,58,2,2/21/20,2/28/20,"5,212,053",BTS,37151476,4vTgx6h4seHvkuFh84JXYP,"['k-pop', 'k-pop boy group']",pop,-5.139,0.0339,0.151,0.0925,99.908,234458,0.664,C
1370,184,1,2/28/20,3/6/20,"5,192,813","Capital Bra, Samra",4093115,033if6Adj8fwBYsQzHOfQ8,['german hip hop'],hip hop,-5.906,0.524,0.289,0.0883,86.91,173353,0.604,A#/Bb
1371,185,1,2/28/20,3/6/20,"5,186,141",Martin Garrix,14921269,4RVtBlHFKj51Ipvpfv5ER4,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",pop,-5.455,0.0581,0.212,0.175,120.077,174062,0.363,A
1372,103,7,1/24/20,1/31/20,"5,184,069",blackbear,4272745,38KsRHYE10bG0paU78gL9r,"['electropop', 'pop', 'pop rap']",pop,-4.594,0.0259,0.0488,0.0754,100.041,201398,0.856,G
1373,146,8,12/27/19,1/3/20,"5,141,047","J Balvin, Bad Bunny",29067437,25ZAibhr3bdlMCLmubZDVt,"['latin', 'reggaeton', 'reggaeton colombiano']",latin,-4.443,0.253,0.0275,0.362,92.603,222347,0.939,A#/Bb
1374,140,9,1/31/20,2/7/20,"5,115,153",Taylor Swift,42227614,6RRNNciQGZEXnqk8SQ9yv5,"['pop', 'post-teen pop']",pop,-5.617,0.0553,0.00929,0.0637,85.026,171360,0.714,D
